Actor Node | Step: 17400 | Output Action: [0.4508326  0.93600595]
Actor Node | Step: 17500 | Output Action: [-0.7255298 -0.1195304]
Actor Node | Step: 17600 | Output Action: [ 0.20942621 -0.06716581]
Actor Node | Step: 17700 | Output Action: [-0.0359445  0.9329817]
Actor Node | Step: 17800 | Output Action: [-0.63544285  0.07868149]
Actor Node | Step: 17900 | Output Action: [-0.16571516  0.9378155 ]
Actor Node | Step: 18000 | Output Action: [-0.27650967 -1.        ]
Actor Node | Step: 18100 | Output Action: [-1.         0.6421533]
Actor Node | Step: 18200 | Output Action: [ 0.62660986 -0.72959477]
Actor Node | Step: 18300 | Output Action: [0.4328245  0.50897735]
Actor Node | Step: 18400 | Output Action: [ 0.90687126 -0.57617545]
Actor Node | Step: 18500 | Output Action: [-1.          0.72015554]
Actor Node | Step: 18600 | Output Action: [ 0.6408459 -0.6259156]
Actor Node | Step: 18700 | Output Action: [-0.14813563  0.26840857]
Actor Node | Step: 18800 | Output Action: [-0.20274301  0.17421104]
Actor Node | Step: 18900 | Output Action: [ 0.17152189 -0.18978572]
Actor Node | Step: 19000 | Output Action: [ 0.8852648  -0.22321287]
Actor Node | Step: 19100 | Output Action: [ 0.24122745 -0.84774286]
Actor Node | Step: 19200 | Output Action: [ 0.15133275 -0.34699696]
Actor Node | Step: 19300 | Output Action: [-0.9074141  1.       ]
Actor Node | Step: 19400 | Output Action: [0.7751039 0.5180968]
Actor Node | Step: 19500 | Output Action: [-0.738042   0.6935359]
Actor Node | Step: 19600 | Output Action: [-1.          0.61280674]
Actor Node | Step: 19700 | Output Action: [ 0.4748688  -0.27195808]
Actor Node | Step: 19800 | Output Action: [ 0.13137336 -0.5417099 ]
Actor Node | Step: 19900 | Output Action: [-0.9960993 -0.5964579]
Actor Node | Step: 20000 | Output Action: [-0.7365578 -0.9656709]
Actor Node | Step: 20100 | Output Action: [ 0.04053736 -0.66041464]
Actor Node | Step: 20200 | Output Action: [-0.03616343  0.626577  ]
Actor Node | Step: 20300 | Output Action: [-0.8320588  0.0368246]
Actor Node | Step: 20400 | Output Action: [-1.          0.74972683]
Actor Node | Step: 20500 | Output Action: [ 0.692811  -0.3840555]
Actor Node | Step: 20600 | Output Action: [-0.2866144 -1.       ]
Actor Node | Step: 20700 | Output Action: [-0.69115376 -1.        ]
Actor Node | Step: 20800 | Output Action: [-0.30368036  0.03721338]
Actor Node | Step: 20900 | Output Action: [-0.444986  1.      ]
Actor Node | Step: 21000 | Output Action: [ 0.95972896 -0.08270108]
Actor Node | Step: 21100 | Output Action: [-0.72551674  0.1186798 ]
Actor Node | Step: 21200 | Output Action: [ 0.05969018 -0.31435603]
Actor Node | Step: 21300 | Output Action: [-0.07440987  0.5690068 ]
Actor Node | Step: 21400 | Output Action: [ 0.82718253 -0.53411067]
Actor Node | Step: 21500 | Output Action: [-0.39173955  0.09403354]
Actor Node | Step: 21600 | Output Action: [-0.61656445 -0.4128017 ]
Actor Node | Step: 21700 | Output Action: [0.5733091  0.12739825]
Actor Node | Step: 21800 | Output Action: [0.08302581 0.20183161]
Actor Node | Step: 21900 | Output Action: [0.15709439 0.19121009]
Actor Node | Step: 22000 | Output Action: [ 0.25732994 -0.92639965]
Actor Node | Step: 22100 | Output Action: [ 0.15957083 -0.10192434]
Actor Node | Step: 22200 | Output Action: [-0.19763377  0.8365444 ]
Actor Node | Step: 22300 | Output Action: [ 0.0247283  -0.37496755]
Actor Node | Step: 22400 | Output Action: [-0.68647134 -0.04615746]
Actor Node | Step: 22500 | Output Action: [0.05790035 0.03656198]
Actor Node | Step: 22600 | Output Action: [-0.6095173  0.6228717]
Actor Node | Step: 22700 | Output Action: [-0.12466761  0.41678143]
Actor Node | Step: 22800 | Output Action: [-0.08388895  0.30245736]
Actor Node | Step: 22900 | Output Action: [ 0.6125206  -0.28638798]
Actor Node | Step: 23000 | Output Action: [0.21089287 0.54350245]
Actor Node | Step: 23100 | Output Action: [ 0.8827742  -0.09212278]
Actor Node | Step: 23200 | Output Action: [-0.9452331  -0.07897475]
Actor Node | Step: 23300 | Output Action: [0.7711413  0.13592064]
Actor Node | Step: 23400 | Output Action: [-0.17016858  0.79933506]
Actor Node | Step: 23500 | Output Action: [-0.7669441  -0.07673778]
Actor Node | Step: 23600 | Output Action: [-0.7436998  0.373618 ]
Actor Node | Step: 23700 | Output Action: [0.26122034 0.67981577]
Actor Node | Step: 23800 | Output Action: [-0.6334567   0.26876864]
Actor Node | Step: 23900 | Output Action: [ 0.02773597 -0.73020446]
Actor Node | Step: 24000 | Output Action: [-0.47951946 -0.08122338]
Actor Node | Step: 24100 | Output Action: [0.22362334 0.70311195]
Actor Node | Step: 24200 | Output Action: [0.27222428 0.41879034]
Actor Node | Step: 24300 | Output Action: [-0.10739754  0.3449582 ]
Actor Node | Step: 24400 | Output Action: [0.44331136 0.7692391 ]
Actor Node | Step: 24500 | Output Action: [-0.9413375  -0.35950375]
Actor Node | Step: 24600 | Output Action: [-0.68871295 -0.646796  ]
Actor Node | Step: 24700 | Output Action: [0.8459524  0.77199227]
Actor Node | Step: 24800 | Output Action: [ 1.         -0.14795685]
Actor Node | Step: 24900 | Output Action: [ 0.40960884 -0.5806621 ]
Actor Node | Step: 25000 | Output Action: [0.09868649 0.4766523 ]
Actor Node | Step: 25100 | Output Action: [-0.8483087   0.67778265]
Actor Node | Step: 25200 | Output Action: [-0.00691039  0.49017566]
Actor Node | Step: 25300 | Output Action: [-0.7752785   0.26143956]
Actor Node | Step: 25400 | Output Action: [-0.5530775  0.3323113]
Actor Node | Step: 25500 | Output Action: [ 0.68303853 -1.        ]
Actor Node | Step: 25600 | Output Action: [ 1.         -0.09991853]
Actor Node | Step: 25700 | Output Action: [0.73516804 0.05439894]
Actor Node | Step: 25800 | Output Action: [-0.7828597  0.2692677]
Actor Node | Step: 25900 | Output Action: [0.43913576 0.2982417 ]
Actor Node | Step: 26000 | Output Action: [0.22166249 1.        ]
Actor Node | Step: 26100 | Output Action: [ 1.        -0.4424471]
Actor Node | Step: 26200 | Output Action: [-0.02312492  0.38611057]
Actor Node | Step: 26300 | Output Action: [-0.28099725  0.31069016]
Actor Node | Step: 26400 | Output Action: [-0.18886039  0.9843324 ]
Actor Node | Step: 26500 | Output Action: [ 0.7880754  -0.14322788]
Actor Node | Step: 26600 | Output Action: [0.42085862 0.37140942]
Actor Node | Step: 26700 | Output Action: [ 0.6338283  -0.20754237]
Actor Node | Step: 26800 | Output Action: [-0.4303964   0.29056787]
Actor Node | Step: 26900 | Output Action: [ 0.12908603 -0.09725534]
Actor Node | Step: 27000 | Output Action: [-0.14214893  0.4474358 ]
Actor Node | Step: 27100 | Output Action: [-0.828202  1.      ]
Actor Node | Step: 27200 | Output Action: [ 0.47110298 -0.19559987]
Actor Node | Step: 27300 | Output Action: [3.9037663e-04 5.7839894e-01]
Actor Node | Step: 27400 | Output Action: [-0.58379865  0.48570833]
Actor Node | Step: 27500 | Output Action: [-0.6110063  -0.25146997]
Actor Node | Step: 27600 | Output Action: [-0.08490995  0.43000835]
Actor Node | Step: 27700 | Output Action: [-1.         -0.22348323]
Actor Node | Step: 27800 | Output Action: [0.86861277 0.52972525]
Actor Node | Step: 27900 | Output Action: [-0.08729208  0.37650934]
Actor Node | Step: 28000 | Output Action: [ 0.16192956 -0.20167534]
Actor Node | Step: 28100 | Output Action: [-0.39054048  0.65053505]
Actor Node | Step: 28200 | Output Action: [-0.07176868 -0.5971828 ]
Actor Node | Step: 28300 | Output Action: [0.47648275 0.3055401 ]
Actor Node | Step: 28400 | Output Action: [-0.7839385  0.616316 ]
Actor Node | Step: 28500 | Output Action: [-0.7089694  0.7869796]
Actor Node | Step: 28600 | Output Action: [0.7705767  0.24658103]
Actor Node | Step: 28700 | Output Action: [-0.16704488  0.29240537]
Actor Node | Step: 28800 | Output Action: [0.15591636 0.12719502]
Actor Node | Step: 28900 | Output Action: [ 0.91014564 -0.27044308]
Actor Node | Step: 29000 | Output Action: [-0.44108647  0.50217783]
